Series Id:     CUUR0000SA0

Not Seasonally Adjusted
Series Title:  All items in U.S. city average, all urban consumers, not seasonally adjusted
Area:          U.S. city average
Item:          All items
Base Period:   1982-84=100


Series Id,Year,Period,Value
CUUR0000SA0,1980,M13,82.4
CUUR0000SA0,1981,M13,90.9
CUUR0000SA0,1982,M13,96.5
CUUR0000SA0,1983,M13,99.6
CUUR0000SA0,1984,M13,103.9
CUUR0000SA0,1985,M13,107.6
CUUR0000SA0,1986,M13,109.6
CUUR0000SA0,1987,M13,113.6
CUUR0000SA0,1988,M13,118.3
CUUR0000SA0,1989,M13,124.0
CUUR0000SA0,1990,M13,130.7
CUUR0000SA0,1991,M13,136.2
CUUR0000SA0,1992,M13,140.3
CUUR0000SA0,1993,M13,144.5
CUUR0000SA0,1994,M13,148.2
CUUR0000SA0,1995,M13,152.4
CUUR0000SA0,1996,M13,156.9
CUUR0000SA0,1997,M13,160.5
CUUR0000SA0,1998,M13,163.0
CUUR0000SA0,1999,M13,166.6
CUUR0000SA0,2000,M13,172.2
CUUR0000SA0,2001,M13,177.1
CUUR0000SA0,2002,M13,179.9
CUUR0000SA0,2003,M13,184.0
CUUR0000SA0,2004,M13,188.9
CUUR0000SA0,2005,M13,195.3
CUUR0000SA0,2006,M13,201.6
CUUR0000SA0,2007,M13,207.342
CUUR0000SA0,2008,M13,215.303
CUUR0000SA0,2009,M13,214.537
CUUR0000SA0,2010,M13,218.056
CUUR0000SA0,2011,M13,224.939
CUUR0000SA0,2012,M13,229.594
CUUR0000SA0,2013,M13,232.957
CUUR0000SA0,2014,M13,236.736
CUUR0000SA0,2015,M13,237.017
CUUR0000SA0,2016,M13,240.007
CUUR0000SA0,2017,M13,245.120
CUUR0000SA0,2018,M13,251.107
CUUR0000SA0,2019,M13,255.657
